scenario,orchard_id,block_id,row_id,tree_id,tree_global_id,mission_id,flight_id,orthomosaic_id,total_images,total_detected_fruits,young_count,green_count,half_count,red_count,expected_harvestable_fruit_count,current_harvest_ready_fruit_count,expected_marketable_future_production_kg_before_disease_loss,future_production_disease_loss_kg,disease_adjusted_marketable_future_production_kg,current_harvest_ready_estimated_kg_before_disease_loss,current_harvest_ready_disease_loss_kg,disease_adjusted_current_harvest_ready_kg,avg_composite_disease_index,disease_loss_factor,disease_loss_pct,avg_detection_confidence,visible_stress_score,canopy_gap_pct,tree_latitude,tree_longitude,tree_centroid_latitude,tree_centroid_longitude,orthomosaic_pixel_x,orthomosaic_pixel_y,local_x_m,local_y_m,gps_match_distance_m,gps_match_status,gps_source,mapping_method,is_simulated_gps
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T001,O01_B01_R01_T001,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,1,0,1,0,0,0.82,0.0,0.013704762500000004,0.005481905000000002,0.008222857500000002,0.0,0.0,0.0,74.8066319645267,0.4,40.0,0.9300107955932617,5.0,26.984130859375,26.7,88.4,26.7,88.4,0,0,0,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T002,O01_B01_R01_T002,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,15,0,5,10,0,13.3,9.200000000000001,0.2222845625,0.088913825,0.1333707375,0.18089500000000003,0.07235800000000002,0.10853700000000001,80.69238398640984,0.4,40.0,0.6948980371157328,5.0,25.551757812499996,26.7,88.40005027646883,26.7,88.40005027646883,100,0,5,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T003,O01_B01_R01_T003,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,1,0,0,1,0,0.92,0.92,0.015376075000000003,0.006150430000000002,0.009225645000000001,0.018089500000000005,0.007235800000000002,0.010853700000000003,64.68607020867418,0.4,40.0,0.801125705242157,5.0,26.724853515625004,26.7,88.40010055293764,26.7,88.40010055293764,200,0,10,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T004,O01_B01_R01_T004,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,1,0,0,1,0,0.92,0.92,0.015376075000000003,0.006150430000000002,0.009225645000000001,0.018089500000000005,0.007235800000000002,0.010853700000000003,78.10094933407518,0.4,40.0,0.9690439105033875,5.0,25.729003906249996,26.7,88.40015082940647,26.7,88.40015082940647,300,0,15,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T005,O01_B01_R01_T005,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,1,0,1,0,0,0.82,0.0,0.013704762500000004,0.005481905000000002,0.008222857500000002,0.0,0.0,0.0,77.49882192460318,0.4,40.0,0.8007194399833679,5.0,26.326416015625,26.7,88.40020110587528,26.7,88.40020110587528,400,0,20,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T006,O01_B01_R01_T006,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,1,0,1,0,0,0.82,0.0,0.013704762500000004,0.005481905000000002,0.008222857500000002,0.0,0.0,0.0,89.81454248366013,0.4,40.0,0.9072301983833313,5.0,25.22509765625,26.7,88.40025138234411,26.7,88.40025138234411,500,0,25,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T007,O01_B01_R01_T007,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,1,0,1,0,0,0.82,0.0,0.013704762500000004,0.005481905000000002,0.008222857500000002,0.0,0.0,0.0,64.80664749121125,0.4,40.0,0.9672560095787048,5.0,25.634033203125,26.7,88.40030165881292,26.7,88.40030165881292,600,0,30,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T008,O01_B01_R01_T008,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,3,0,0,3,0,2.7600000000000002,2.7600000000000002,0.04612822500000001,0.018451290000000006,0.027676935000000003,0.05426850000000001,0.021707400000000005,0.03256110000000001,94.81442817841905,0.4,40.0,0.6275061865647634,5.0,25.156982421875,26.7,88.40035193528175,26.7,88.40035193528175,700,0,35,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T009,O01_B01_R01_T009,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,6,0,0,6,0,5.5200000000000005,5.5200000000000005,0.09225645000000002,0.03690258000000001,0.055353870000000006,0.10853700000000002,0.04341480000000001,0.06512220000000002,92.08571177508274,0.4,40.0,0.7516147643327713,5.0,25.306884765625,26.7,88.40040221175056,26.7,88.40040221175056,800,0,40,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
Base,ORCHARD_01,BLOCK_01,ROW_01,O01_B01_R01_T010,O01_B01_R01_T010,MISSION_001,FLIGHT_ORCHARD_01,ORTHO_ORCHARD_01,1,2,0,0,2,0,1.84,1.84,0.030752150000000006,0.012300860000000004,0.018451290000000002,0.03617900000000001,0.014471600000000005,0.021707400000000005,86.71043167334912,0.4,40.0,0.9682037532329559,5.0,25.156250000000004,26.7,88.40045248821939,26.7,88.40045248821939,900,0,45,0,2.1,DRONE_MATCHED,SIMULATED_DRONE_MAPPING,DYNAMIC_FROM_IMAGE_FOLDER,True
