epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.397,1.52326,2.63972,1.33357,0,0,0,0,0,0,0,0.000415076,0.000415076,0.000415076
2,446.564,1.39471,1.66766,1.26595,0,0,0,0,0,0,0,0.000815274,0.000815274,0.000815274
3,660.639,1.36464,1.47818,1.25141,0,0,0,0,0,0,0,0.00119897,0.00119897,0.00119897
4,873.233,1.31229,1.32643,1.22413,0,0,0,0,0,0,0,0.00117575,0.00117575,0.00117575
5,1086.57,1.28404,1.24772,1.18411,0,0,0,0,0,0,0,0.001151,0.001151,0.001151
6,1299.61,1.28894,1.21332,1.20255,0,0,0,0,0,0,0,0.00112625,0.00112625,0.00112625
7,1509.65,1.2503,1.16,1.18281,0,0,0,0,0,0,0,0.0011015,0.0011015,0.0011015
8,1719.84,1.24803,1.05884,1.16605,0,0,0,0,0,0,0,0.00107675,0.00107675,0.00107675
9,1930.47,1.20611,1.02987,1.14734,0,0,0,0,0,0,0,0.001052,0.001052,0.001052
10,2139.45,1.18039,1.03829,1.13991,0,0,0,0,0,0,0,0.00102725,0.00102725,0.00102725
11,2349.91,1.19359,0.95811,1.13594,0,0,0,0,0,0,0,0.0010025,0.0010025,0.0010025
12,2562.68,1.17416,0.95157,1.12637,0,0,0,0,0,0,0,0.00097775,0.00097775,0.00097775
13,2774.82,1.17799,0.91348,1.12939,0,0,0,0,0,0,0,0.000953,0.000953,0.000953
14,2984.78,1.16032,0.90636,1.12039,0,0,0,0,0,0,0,0.00092825,0.00092825,0.00092825
15,3194,1.17466,0.88842,1.12034,0,0,0,0,0,0,0,0.0009035,0.0009035,0.0009035
16,3404.28,1.15739,0.86554,1.10593,0,0,0,0,0,0,0,0.00087875,0.00087875,0.00087875
17,3613.98,1.15112,0.86107,1.10609,0,0,0,0,0,0,0,0.000854,0.000854,0.000854
18,3823.65,1.13559,0.85143,1.09616,0,0,0,0,0,0,0,0.00082925,0.00082925,0.00082925
19,4034.12,1.13354,0.81988,1.09408,0,0,0,0,0,0,0,0.0008045,0.0008045,0.0008045
20,4845.91,1.11875,0.7988,1.09411,0,0,0,0,0,0,0,0.00077975,0.00077975,0.00077975
21,8639.23,1.12902,0.79375,1.09494,0,0,0,0,0,0,0,0.000755,0.000755,0.000755
22,8850.28,1.10198,0.78406,1.08988,0,0,0,0,0,0,0,0.00073025,0.00073025,0.00073025
23,9065.76,1.09562,0.77368,1.07427,0,0,0,0,0,0,0,0.0007055,0.0007055,0.0007055
24,9276.29,1.09491,0.75575,1.0719,0,0,0,0,0,0,0,0.00068075,0.00068075,0.00068075
25,9486.77,1.0746,0.7712,1.07666,0,0,0,0,0,0,0,0.000656,0.000656,0.000656
26,9697.09,1.06897,0.74226,1.06939,0,0,0,0,0,0,0,0.00063125,0.00063125,0.00063125
27,9907.04,1.0671,0.73531,1.06891,0,0,0,0,0,0,0,0.0006065,0.0006065,0.0006065
28,10118.4,1.0683,0.72468,1.06183,0,0,0,0,0,0,0,0.00058175,0.00058175,0.00058175
29,10328.8,1.05495,0.72197,1.0636,0,0,0,0,0,0,0,0.000557,0.000557,0.000557
30,10536.4,1.0692,0.72858,1.0648,0,0,0,0,0,0,0,0.00053225,0.00053225,0.00053225
31,10741,1.0372,0.70785,1.05388,0,0,0,0,0,0,0,0.0005075,0.0005075,0.0005075
32,10945.3,1.06482,0.70181,1.06026,0,0,0,0,0,0,0,0.00048275,0.00048275,0.00048275
33,11150.3,1.05307,0.70042,1.05881,0,0,0,0,0,0,0,0.000458,0.000458,0.000458
34,11354.4,1.04741,0.68307,1.04931,0,0,0,0,0,0,0,0.00043325,0.00043325,0.00043325
35,11559.2,1.04931,0.67938,1.04618,0,0,0,0,0,0,0,0.0004085,0.0004085,0.0004085
36,11763.3,1.00746,0.66821,1.03814,0,0,0,0,0,0,0,0.00038375,0.00038375,0.00038375
37,11968.9,1.04022,0.66494,1.04571,0,0,0,0,0,0,0,0.000359,0.000359,0.000359
38,12173.9,1.02304,0.67193,1.03775,0,0,0,0,0,0,0,0.00033425,0.00033425,0.00033425
39,12377.3,1.01445,0.66706,1.04384,0,0,0,0,0,0,0,0.0003095,0.0003095,0.0003095
40,12581.9,1.02255,0.65455,1.03008,0,0,0,0,0,0,0,0.00028475,0.00028475,0.00028475
41,12784.5,0.96246,0.62864,1.01867,0,0,0,0,0,0,0,0.00026,0.00026,0.00026
42,12986.8,0.97268,0.61784,1.02026,0,0,0,0,0,0,0,0.00023525,0.00023525,0.00023525
43,13189.8,0.94709,0.61233,1.01557,0,0,0,0,0,0,0,0.0002105,0.0002105,0.0002105
44,13392,0.95423,0.60069,1.01015,0,0,0,0,0,0,0,0.00018575,0.00018575,0.00018575
45,13595.1,0.93504,0.5845,0.99584,0,0,0,0,0,0,0,0.000161,0.000161,0.000161
46,13798.4,0.93567,0.58995,1.00225,0,0,0,0,0,0,0,0.00013625,0.00013625,0.00013625
47,14001,0.92112,0.57278,0.99265,0,0,0,0,0,0,0,0.0001115,0.0001115,0.0001115
48,14204.4,0.91659,0.57589,0.99024,0,0,0,0,0,0,0,8.675e-05,8.675e-05,8.675e-05
49,14407.8,0.90611,0.55967,0.99036,0,0,0,0,0,0,0,6.2e-05,6.2e-05,6.2e-05
50,14628,0.91081,0.5654,0.9877,0.8523,0.81739,0.89763,0.65529,0.89736,0.64604,0.99609,3.725e-05,3.725e-05,3.725e-05
